"filename","percentage_match","percentage_match_excl_singles","percentage_single_sample_GMYC_species","oversplitting_ratio","oversplitting_excl_singles"
"resampled_1.trees.nex",100,100,10,2,1.8
"resampled_2.trees.nex",100,100,8.33,2.4,2.2
"resampled_3.trees.nex",100,100,8.33,2.4,2.2
"resampled_4.trees.nex",100,100,9.09,2.2,2
"resampled_5.trees.nex",100,100,10,2,1.8
"resampled_6.trees.nex",100,100,0,2,2
"resampled_7.trees.nex",100,100,10,2,1.8
"resampled_8.trees.nex",100,100,0,2,2
"resampled_9.trees.nex",100,100,0,2,2
"resampled_10.trees.nex",100,100,8.33,2.4,2.2
